en_text,fr_text
"Mr President, there are, of course, many areas in which the new Commission must be assessed, but firstly, I think that it is simply the question relating to trust that must be asked, in other words, can we as Members of Parliament, as representatives of our people, reasonably assume that the new Commission is not going to go down the same road that led to the downfall of the Santer Commission?","Monsieur le Président, il y a bien sûr beaucoup d'éléments sur lesquels il faut juger la nouvelle Commission mais en premier lieu, je pense, il faut tout simplement poser la question de confiance, en d'autres termes, pouvons-nous en tant que parlementaires, en tant que représentants de nos peuples, raisonnablement supposer que la nouvelle Commission ne suivra pas la voie qui a mené à la chute de la Commission Santer?"
"What is more, we should take the lead in establishing a global parliamentary system.","Par ailleurs, nous devons prendre les devants pour l'établissement d'un parlementarisme mondial."
It therefore seems perfectly fair that those who market foodstuffs in packaging on which nutritional claims are made should be able to justify them.,Il semble ainsi parfaitement juste que les personnes qui commercialisent des aliments accompagnés d’une allégation nutritionnelle puissent justifier cette dernière.
"In the debate the question of Community grants was raised, and I would like to answer the question here.","Au cours du débat, la question de l'octroi de subventions communautaires a été levée. J'aimerais répondre à cette question."
This is needed so that democratic Europe still has a clear message today!,C'est nécessaire pour que l'Europe démocratique ait encore un message clair aujourd'hui!
   . I welcome this proposed Directive on measures for the control of avian influenza.,   J’accueille favorablement cette proposition de directive relative à des mesures communautaires de lutte contre l’influenza aviaire.
"As the author is not present, Question No 8 lapses.","Son auteur étant absent, la question n° 8 est caduque."
"In future, this policy should not just be maintained; it should be strengthened with the requisite resources.","À l'avenir, cette politique ne devrait pas uniquement être maintenue; elle devrait être renforcée par les ressources adéquates."
If Ireland is to continue providing fish to the rest of the EU and still have the means to provide for their families this is not acceptable.,"Si les pêcheurs irlandais sont censés continuer à nourrir le reste de l'UE tout en offrant à leurs familles des moyens de subsistance, cette évolution est inadmissible."
He has once again delivered excellent work with regard to making traffic more environmentally friendly.,Il a accompli un travail excellent concernant les efforts visant à rendre le transport plus écologique.
One point I would briefly like to mention is the definition of investment.,"Le premier point, si vous me permettez de l'aborder brièvement, concerne la définition très large de la notion d'investissement."
"It is no great feat to increase the rates by 20% - for example, for a mobile phone like this - and nor is it a political masterstroke, but the vital issue for me is what they do with the recyclable material.","La hausse des taux de 20 % pour les téléphones portables tels que celui-ci n'est pas un tour de force ou une performance politique, mais la question de savoir ce que deviennent les matériaux issus du recyclage représente pour moi la question décisive et la plus importante."
"At the present time, when the Polish energy production industry buys barely 10% of its emission allowances at auction, the price of electric power has risen by some 15% in 2007, and is set to rise in the next few years by a further 20% to 30 %.","À l'heure actuelle, alors que l'industrie de production d'énergie de la Pologne n'achète que 10 % de ses quotas d'émission aux enchères, le prix de l'électricité a augmenté d'environ 15 % en 2007 et devrait encore grimper de 20 à 30 % au cours des prochaines années."
"It should be pointed out that the aim of the CITES is not to prohibit fishing but merely the international trade in this type of fish, 80% of which is exported to Japan.","Il faut rappeler que la CITES n'a pas vocation à interdire la pêche mais seulement le commerce international de ce poisson, exporté à 80°% vers le Japon."
We know that genuine democracy in many countries starts to be built on polling day and goes on from there.,"Nous savons que dans de nombreux pays, la vraie démocratie commence le jour du vote."
The Group for a Europe of Democracies and Diversities supports that decision wholeheartedly.,Le groupe pour l'Europe des démocraties et des différences soutient de tout c?ur cette décision.
"But please allow me to go a little, not into the broader story, since we have had the opportunity to discuss that on several occasions in this House, but into more recent history. Please allow me to return to December of last year.","Avant cela, j' aimerais revenir un peu, non pas à la grande histoire, que nous avons maintes fois discutée dans cet hémicycle, mais à l' histoire plus proche, celle du mois de décembre de l' année qui vient de s' achever."
"The next item is the recommendation (A4-0342/97) by Mr Kittelmann, on behalf of the Committee on External Economic Relations, on the draft Council Decision with a view to accession by the European Community to the Agreement of the United Nations Economic Commission for Europe concerning the adoption of uniform technical prescriptions for wheeled vehicles, equipment and parts which can be fitted to and/or be used on wheeled vehicles and the conditions for reciprocal recognition of approvals granted on the basis of these prescriptions (Revised 1958 Agreement) (9868/97 - C4-0467/97-96/0006(AVC).","L'ordre du jour appelle le rapport (A4-0342/97) de M. Kittelmann, au nom de la commission des relations économiques extérieures, concernant la proposition de décision du Conseil en vue de l'adhésion de la Communauté européenne à l'Accord de la Commission économique pour l'Europe des Nations unies concernant l'adoption de prescriptions techniques uniformes applicables aux véhicules à roues ainsi qu'aux équipements et pièces susceptibles d'être montés ou utilisés sur les véhicules à roues et les conditions de reconnaissance réciproque des homologations délivrées conformément à ces prescriptions (»Accord révisé de 1958») (9868/97 - C4-0467/97-96/0006(AVC)."
"If the five new amendments are adopted by this Parliament, the Commission can assent to the spirit of all amendments proposed in Mrs Peijs' report, including Amendment No 1. However, the wording of all amendments - and I am also making this point in response to comments made by Mrs Villiers - would then have to be adapted in order to guarantee the compatibility and consistency of these amendments with Article 20.","Si les cinq nouveaux amendements sont acceptés par le Parlement, la Commission peut accepter sur le fond tous les amendements proposés dans le rapport de Mme Peijs, en ce compris l'amendement 1, mais les formulations de tous les amendements - je dis également cela pour répondre tout particulièrement aux remarques de Mme Villiers - doivent encore être adaptées en vue d'assurer leur compatibilité et leur cohérence par rapport à l'article 20."
On the Bowe report (A4-0239/97),Rapport Bowe (A4-0239/97)
"Mr President, I would like yesterday' s speeches in this House to be checked in order to see how many speakers exceeded their speaking time, by how much they exceeded it and who was allowed to do this and who was not.","Monsieur le Président, je demande que soient vérifiées nos interventions d'hier et d'aujourd'hui dans cette Assemblée. Il convient en effet de vérifier combien d'orateurs ont dépassé leur temps de parole et de combien de temps ils l'ont dépassé, ainsi que de déterminer qui était en droit ou non de le faire."
"   .– By adopting the Herzog report, the European Parliament has adopted some excellent statements on ‘the fundamental importance of the subsidiarity principle’ and on the need to respect the free choice of the Member States in terms of the missions, organisation and financing arrangements of services of general interest at national level (see paragraph 18).","   .- En votant le rapport Herzog, le Parlement européen vient d’adopter d’excellentes déclarations sur ""le caractère primordial du principe de subsidiarité"" et sur la nécessité de respecter le libre choix des États membres pour les missions, l’organisation, le financement des services d’intérêt général au niveau national (voir paragraphe 18)."
I would like to assure Mr Lambsdorff that Mr Van Orden loves Europe very much.,Je tiens à rassurer M. Lambsdorff et à lui dire que M. Van Orden aime beaucoup l'Europe.
I am happy to outline that for Parliament.,Je suis heureux de l'indiquer au Parlement.
Because the great concern we all have is that we may well be handing over a blank cheque to the Commission.,Car ce que nous craignons tous ici c'est de donner un chèque en blanc à la Commission.
"LPG in a plant is covered, but in a filling station the end user, a car, for instance, is not covered under Article 118a or 137.","Jusqu'à ce stade, donc, le LPG est couvert, mais au niveau de la station-service même, l'utilisateur final, une voiture particulière par exemple, n'est pas couvert par les articles 118 a et 137."
The sarcophagus of the Chernobyl 4 nuclear reactor could be much better and more effective.,Le sarcophage du quatrième réacteur nucléaire de Chernobyl pourrait être meilleur et plus efficace.
"A decision will be taken on detailed roadmaps and timetables, and pre-accession aid, in order to move forward the accession process with Bulgaria and Romania.",Une décision devra être prise sur une feuille de route et un calendrier détaillés ainsi que sur l'octroi d'une aide de préadhésion en faveur de la Bulgarie et de la Roumanie afin de stimuler le processus d'adhésion de ces deux pays.
"Enormous differences exist between island regions in Europe, and you are an example of that.","En effet, des différences énormes existent entre les régions insulaires en Europe, et vous en êtes un exemple."
"Many deficiencies, however, still remain.",De nombreuses déficiences subsistent néanmoins.
Those languages were simply banned.,Ces langues étaient carrément bannies.
"As regards the NGOs, we are always advocating support for them.","Pour ce qui est des ONG, nous sommes toujours favorables à un soutien en leur faveur."
"In Colombia, which is a country I know well and where we are doing a lot of work in the area of human rights, those rights have been violated by the Government.","C'est le gouvernement qui a bafoué les droits de l'homme en Colombie, un pays que je connais bien et où nous fournissons un important travail en matière de droits de l'homme."
"Renewable energies exist, even in the northern European countries: solar energy, wind energy, hydraulic energy, biomass.","Les énergies renouvelables existent, même dans les pays du nord de l'Europe: énergie photovoltaïque, énergie éolienne, énergie hydraulique, biomasse."
We also welcome Vietnam's agreement for the EU to visit two individuals on the list – Thich Quang Do and Than Van Truong – so that we can assess their situation.,Nous sommes également ravis que le Viêt Nam ait accepté que l’UE rende visite à deux des détenus de la liste - Thich Quang Do et Than Van Truong - afin de se rendre compte de leur situation.
My second remark relates to the topic of coordination.,Ma deuxième remarque porte sur le thème de la coordination.
The massive protests in numerous Arab countries have shown that undemocratic and authoritarian regimes cannot guarantee credible stability and that democratic values are central to economic and political partnerships.,Les manifestations massives dans de nombreux pays arabes ont démontré que les régimes non démocratiques et autoritaires ne peuvent pas garantir une stabilité crédible et que les valeurs démocratiques sont un élément essentiel des partenariats économiques et politiques.
"We all hoped that the murder of Yitzhak Rabin would not be in vain, but would serve the cause of peace and not that of war, as his assassins wished.",Nous avons tous souhaité que le sacrifice d'Ytzhak Rabin ne soit pas un sacrifice inutile et qu'il serve la cause de la paix et non celle de la guerre voulue par ses assassins.
Many different tricks are employed.,Les astuces utilisées sont nombreuses.
"In terms of the economy, Malta is a functioning market economy and is in a position to withstand competition from the EU in the medium term, provided that it carries out the structural reforms that are still pending.","Dans le domaine économique, Malte a une économie de marché viable, et est en mesure de soutenir à moyen terme la concurrence européenne, pour autant qu'elle procède aux réformes structurelles en suspens."
It is our expectation that the guidelines will be adjusted and tightened in Vienna so that the Member States have to give more specific commitments with quantified sums of expenditure.,Nous attendons du Sommet de Vienne qu'il ajuste et affûte les lignes directrices afin que les États membres puissent s'engager encore plus concrètement sur des données quantifiées.
"The growing importance of EURES' role in the light of the forthcoming EU enlargement must be clearly underlined, as in this report. Sound career advice and employment services can undoubtedly help to channel potential widespread interest in migration.","L' importance croissante d' EURES dans la perspective de l' élargissement à l' est doit être nettement renforcée - tel que le souligne le rapport - , car seul un service de conseil et de placement qualifié sera capable de canaliser les souhaits de mobilité qui seront sans aucun doute très importants."
"I will leave it there, Mr President.","Je conclurai mon intervention, Monsieur le Président, en réitérant mes compliments à l'égard du rapport de Tom Spencer."
"Member of the Commission. - (FR) Mr President, ladies and gentlemen, I would first of all like to thank the Committee on Development and its rapporteur, Mrs Martens, for this report which makes a first assessment of the Africa-EU Strategic Partnership one year after the Lisbon Summit.","membre de la Commission. - Monsieur le Président, Mesdames et Messieurs les députés, chers collègues, je voudrais tout d'abord remercier la commission du développement, et son rapporteur, Mme Martens, pour ce rapport qui fait un premier bilan sur le partenariat stratégique Afrique/Union européenne à un an du sommet de Lisbonne."
"Unfortunately, however, governments themselves are not always entirely blameless.","Malheureusement, les gouvernements ne sont pas non plus toujours innocents."
"Mr President, ladies and gentlemen, I can be fairly brief.","Monsieur le Président, Monsieur le Commissaire, mes chers collègues, mon intervention sera relativement brève."
"Well, I sometimes wonder whether we do not, in fact, draw our inspiration from this ancient Japanese legislation.","Eh bien, je me demande parfois si nous ne nous inspirons pas effectivement de cette législation japonaise ancienne."
"Yes, we must recognise Taiwan as one of the most important trading entities for the EU, but here we are being asked to go further.","Oui, nous devons reconnaître Taiwan comme l'un des principaux partenaires commerciaux de l'UE, mais on nous demande ici d'aller plus loin."
"The Group of the European People' s Party, which has always tenaciously supported the European Commission having a monopoly on the exercise of legislative initiative, believes that it is very positive that that legislative initiative, when it comes about, should count on the participation of many more players: of what we call civil society, of local and regional authorities; above all especially if we do so, as Mr Prodi said, without in any way altering the balance between the institutions or the constitutional status of the Member States.","Le groupe du parti populaire européen, qui a toujours soutenu avec fermeté l'idée que la Commission européenne devait détenir le monopole de l'exercice de l'initiative législative, pense qu'il serait très positif que cette initiative législative, quand elle sera établie, puisse compter sur la participation de bien davantage d'acteurs c'est-à-dire la société civile, les autorités locales et régionales ; d'autant plus si cela se passe, comme M. Prodi l'a dit, sans préjudice de l'équilibre des autres institutions ou de l'ordre institutionnel des États membres."
"The subsequent war of independence with Pakistan only served to exacerbate the extreme poverty, and not only in the provinces.","La guerre d'indépendance qui a suivi avec le Pakistan n'a fait qu'exacerber l'extrême pauvreté, et pas seulement dans les provinces."
"Over the last few years, Spain has suffered frequently - perhaps too frequently - from such problems in the export of its fruit and vegetables, as well as other more sensitive products such as dietary products for children.","L'Espagne a très fréquemment souffert de ce problème - peut-être trop fréquemment ces dernières années - pour ses exportations de fruits et légumes, de même que pour d'autres produits plus sensibles comme les aliments diététiques pour enfants."
The house is on fire.,La maison brûle.
"I would like to inform the Chamber that during the vote, at the express request of the association of parliamentary journalists, for each set of results we must also expressly indicate the number of votes for and against and the number of abstentions.","Je voudrais informer l'Assemblée que, au cours du vote, à la demande expresse de l'association des journalistes parlementaires, pour chaque série de résultats, nous devons également expressément indiquer le nombre de voix pour et contre et le nombre d'abstentions."
The currently existing barriers to cross-border transactions hinder traders' and customers' activities across Member State borders.,Les obstacles aux transactions transfrontalières qui existent actuellement entravent les activités des professionnels et des clients aux frontières des États membres.
People should not be detained just because they apply for asylum.,Personne de devrait être détenu pour une simple demande d'asile.
That cannot be the intention!,Ce n'est tout de même pas l'objectif que nous voulons atteindre.
There is another problem that remains unresolved: how passengers are treated.,Un autre problème reste en suspens : il s'agit de l'attitude envers les passagers.
"The continuance to this very day of this work of unification, which is still overcoming division, still holding racism in contempt, still excluding from the community of democrats all anti-Semites, racists and Nazis, still holding these criminals up to scorn, still enumerating their deeds, and still remembering them – that is the basis, the moral and intellectual foundation of our European Union, the Union built up by our fathers and our fathers’ fathers.","La continuation jusqu’à ce jour de ce travail d’unification, qui permet encore de surmonter la division, de contenir le racisme, d’exclure tous les antisémites, les racistes et les nazis de la communauté des démocrates, de mépriser ces criminels, d’énumérer leurs méfaits et de s’en souvenir - c’est la base, la fondation morale et intellectuelle de notre Union européenne, l’Union construite par nos pères et les pères de nos pères."
But it is true - and I fully agree - that the relationship between regulation and markets will change because of this crisis.,Mais il est vrai - et je vous rejoins totalement sur ce point - que la relation entre la réglementation et les marchés se trouvera profondément modifiée à l'issue de cette crise.
"However, you should not forget that careful preparatory work is also needed for those sectors for which no review was agreed upon in Berlin, such as sugar, fruit, vegetables, olive oil and so on.","Toutefois, n'oubliez pas que, pour ce qui est du traitement des secteurs dont Berlin n'a pas décidé l'examen - ceux, par exemple, du sucre, des fruits, des légumes, de l'huile d'olive et autres -, il faut d'abord mener les travaux préparatoires indispensables."
It seems to me that it is our duty to react most indignantly.,Il me semble qu’il est de notre devoir de réagir haut et fort.
"Then we were told about special measures that were to be decided upon at the European Council meeting in Vienna. Now we are being told to wait for the European Employment Pact, but although this is now at the drafting stage, it merely covers the same ground as the German action plan on employment.","Puis on nous parlé de mesures qui seraient prises au Conseil européen de Vienne, et voici qu'aujourd'hui on nous demande d'attendre le pacte européen pour l'emploi, lequel, bien qu'il soit en cours d'élaboration, ne fait que reprendre le plan d'action allemand pour l'emploi."
"Believe it or not, there is to be an increase of 16% for the area of freedom, security and justice.","Croyez-le ou non, le domaine de la liberté, de la sécurité et de la justice bénéficiera d'une augmentation de 16 %."
"Madam President, I am a Basque and I belong to the Basque Nationalist party.","Madame la Présidente, je suis basque et membre du parti nationaliste basque."
"Secondly, this is also about those areas in which the Commission itself bears financial responsibility.","Deuxièmement, il est également question des domaines pour lesquels la Commission assume elle-même une responsabilité financière."
It is important for a Parliament to speak out in public on this kind of matter.,Il est important qu'un Parlement s'exprime en public sur ce genre d'affaires.
"Thirdly, the European Commission’s proposal for corporate tax harmonisation is based on the assumption that harmful tax competition results in a shift in taxation away from taxes on mobile capital and towards taxes on comparatively immobile labour and that this development is harmful for employment and ordinary EU citizens.","Troisièmement, la proposition de la Commission européenne concernant une harmonisation de la fiscalité des sociétés repose sur l’hypothèse qu’une mauvaise concurrence fiscale entraîne un passage d’une imposition sur le capital, qui est mobile, vers une imposition sur le travail, qui est comparativement immobile, et que ce développement nuit à l’emploi et aux citoyens ordinaires de l’Union européenne."
"As part of the wide ranging Climate and Energy Package, renewable energy will provide the source of 20% of energy (including electricity, heat and transport) by 2020.","Dans le cadre du vaste paquet sur le climat et l'énergie, l'énergie renouvelable constituera la source de 20 % de l'énergie (y compris l'électricité, le chauffage et les transports) d'ici 2020."
I trust and am sure he will show himself no less resolute in pressing home cases which have to be brought to a conclusion speedily.,J' espère et je suis sûr qu' il se montrera tout aussi résolu lorsqu' il de faire pressions pour des dossiers domestiques qui doivent être conclus rapidement.
"Mr President, I think that we have already heard much about the opportunities and possibilities which the Socrates programme will offer us over the next seven years.","Monsieur le Président, je crois que beaucoup de choses ont déjà été dites sur les chances et les opportunités que nous offre le programme Socrates pour les sept prochaines années."
"   – Mr President, Mr President-in-Office of the Council, Commissioner, what prospects has the Barcelona Process opened up, 10 years on?","   - Monsieur le Président, Monsieur le Président en exercice, Madame le Commissaire, dix ans après, quelles perspectives le processus de Barcelone a-t-il ouvertes?"
Pierre Moscovici has said so.,Pierre Moscovici est intervenu en ce sens.
The pay-as-you-go system based on the solidarity principle must form the foundation of European pensions and it must provide enough for people to live on.,Le système par répartition qui repose sur le principe de solidarité doit constituer la base des retraites européennes et doit garantir des moyens de subsistance suffisants.
"However, technical success will have to be achieved at a high cost and by using a large amount of energy.","Cependant, cette réussite technique devra être obtenue à un prix élevé et en utilisant une grande quantité d'énergie."
"Today, in the European Union, we are looking for efficient strategies to develop rural areas on the basis of the new European standard and, at the same time, to combat local and regional inequalities.","Dans l'Union européenne d'aujourd'hui, nous sommes à la recherche d'une stratégie efficace en faveur du développement rural fondée sur le nouveau modèle européen et, parallèlement, pour lutter contre les disparités locales et régionales."
"Mr President, looking at the screen in front of me I can see the words 'Conference' and 'Malta'.","Monsieur le Président, je vois sur l'écran qui se trouve devant moi: Conférence , suivi de Malte."
For this reason I am calling on the EU authorities and on Member States to monitor the situation with care and to react decisively if the circumstances I have described should be repeated.,J'invite donc les autorités européennes et les États membres à surveiller de près la situation et à réagir avec fermeté dans le cas où les circonstances que je viens de décrire se reproduiraient.
"I therefore welcome this positive report on the agreement adopted by the 36th session of the United Nations Food and Agriculture Organisation (FAO) Conference, which brings to a close a long period of debate that had already led to the adoption of a number of codes of conduct.","C'est pourquoi je me félicite de ce rapport positif sur l'accord adopté lors de la 36e session de la conférence de l'Organisation des Nations unies pour l'alimentation et l'agriculture (FAO), qui conclut une longue période de débats, qui avait déjà débouché sur l'adoption de plusieurs codes de conduite."
"Secondly, the act must ensure that the will of the parties is appropriate to the achievement of particular legal purposes.","Deuxièmement, l'acte doit s'assurer que la volonté des parties soit propre à garantir la réalisation de certains objectifs juridiques."
"I just want, on this last occasion, to say that many of us in this House have invested a lot of ourselves in the REACH process: Guido Sacconi and many colleagues have laid the foundations for a safer, better chemicals framework.","En cette dernière occasion, je veux simplement dire que nous sommes très nombreux dans cette Assemblée à avoir énormément investi de nous-mêmes dans le processus REACH: Guido Sacconi et de nombreux collègues ont posé les fondations d'un cadre meilleur et plus sûr pour les substances chimiques."
"I cannot agree with these demands, quite apart from the fact that we are talking about areas of civil and political rights that come under national sovereignty.","Je ne peux pas être d'accord avec ces revendications, sans compter qu'il s'agit de domaines qui concernent des droits civils et des droits politiques relevant de la souveraineté nationale."
This was a preoccupation of the acceding countries and is now a part of the compromise today.,Il s’agissait d’une préoccupation des pays adhérents et elle fait désormais partie intégrante du compromis.
Article 145 of the Treaty on the delegation of implementing powers has still not been amended whereas lawyers generally consider that it should have been.,"Toujours est-il qu'en matière de délégation du pouvoir d'exécution, le traité, son article 145, n'a pas été modifié, alors que, de l'avis général des juristes, il aurait dû l'être."
"In its efforts to exercise impeccable and disciplined financial management, the Council has made a detailed analysis of the needs in all policy areas.","Dans ses efforts de gestion financière impeccable et disciplinée, le Conseil a procédé à une analyse détaillée des besoins dans tous les domaines politiques."
"Since we are convinced that peace, if it is to be genuine, must be based on pluralism, we believe that there must be greater passion and political engagement in support of the peace process and of the restoration of full sovereignty in Lebanon.","Puisque nous sommes convaincus qu’une paix véritable doit être basée sur le pluralisme, nous croyons que le processus de paix et la restauration de la pleine souveraineté du Liban doivent être soutenus avec davantage de passion et un engagement politique plus marqué."
"I say to my Liberal colleagues that this is a very bitter-sweet moment: sweet, as you may imagine for all those reasons and bitter-sweet because I have always done my politics week in, week out, day in, day out, in the bosom of that group.","Je veux dire à mes collègues libéraux que c'est un moment très doux-amer : doux - vous pouvez l'imaginer - pour toutes ces raisons, et doux-amer parce que mon action politique s'est toujours développée, jour après jour, semaine après semaine, au sein de ce groupe."
"We have the tools: the broad outlines of economic policy, the stability programmes.","Nous avons les instruments: les grandes orientations de politique économique, les programmes de stabilité."
These are problems for society.,Ce sont des problèmes de société.
"We have also agreed to compromise on one or two points, because you can never have everything in a House such as this.",Nous avons aussi accepté un compromis sur l'un ou l'autre point car il n'est pas possible d'avoir gain de cause sur tout au sein d'une Assemblée comme celle-ci.
Furthermore it can solve the problem of creating a better basis for starting up medicine production in developing countries.,Elle peut en outre amener une meilleure base en vue du démarrage de la production de médicaments dans les pays en développement.
I will read it to you in English.,Je vous le lirai en anglais.
"Having given this general warning, I give the floor to the Commissioner.","Après cette remarque générale, je donne la parole à M. le commissaire."
"   Mr President, I would like to make a few remarks in response to Mr Hughes' observations.","   - Monsieur le Président, je souhaiterais formuler quelques remarques en réponse aux observations faites par M. Hughes."
We still have a lot to do in this respect.,Il nous reste encore bien du chemin à faire dans ce domaine.
"We are pleased with those two points, but my group is less pleased with what is missing from the resolution.","Nous sommes satisfaits donc de ces deux points, par contre mon groupe est moins satisfait de ce qui manque dans la résolution."
This is an important contribution to transparency and accountability.,C’est une contribution importante à la transparence et au principe de responsabilité.
"You can have all the weapons in the world, but you will be unable to defend yourself against a few people armed with box cutters.","On a beau posséder toutes les armes du monde, on reste incapable de se défendre contre une poignée de terroristes armés de cutters."
They only wanted one of their own.,Ils ne veulent que leur propre délégation.
Fifty per cent of the world's work is done by women.,Les femmes effectuent 50 % du travail dans le monde.
"I think that this group will play a fundamental role in eliminating the problems that the Court of Auditors has identified in several of the agencies, many of them in common, and in defining a common framework that will allow for better financial and budgetary management in the future.","Je pense que ce groupe jouera un rôle fondamental dans l'élimination des problèmes identifiés par la Cour des comptes dans plusieurs d'agences, des problèmes souvent partagés, et dans la définition d'un cadre commun qui permettra d'améliorer la gestion financière et budgétaire à l'avenir."
Why is it that women – even in politics – are still not achieving the breakthrough?,Pourquoi les femmes n’ont-elles pas encore réussi à percer ce plafond - même en politique?
"You are turning an environmental conflict, an ecological disaster, into a legal conflict that is unique in history.","Vous transformez un conflit environnemental, un désastre écologique, en conflit juridique unique dans les annales."
"The challenge for the EU is dealing with scarcity, the scarcity of natural resources, but also of labour.","Pour l'UE, le défi consiste à composer avec les pénuries - les pénuries de ressources naturelles, mais également de main-d'œuvre."
"This is not because Marta Andreassen has told us that we should do that, but because the Court has been pointing out these failures since 1994.","Ce n'est pas parce que Marta Andreasen nous a dit que nous devrions le faire, mais bien parce que la Cour signale ces failles depuis 1994."
It is completely unacceptable.,Cette situation est totalement inadmissible.
"But we know from the evidence we have in front of us is that it is at least 1% of healthcare, so this will increase expectations.","Mais nous savons, à la lumière des éléments disponibles, que cela concerne au moins 1% des soins de santé, ce qui va accroître les attentes."
"Firstly, the vote on the report by Vital Moreira on the proposal for a decision of the European Parliament and of the Council providing macro-economic financial assistance to Ukraine has been postponed to the second part-session in May.","Premièrement, le vote sur le rapport Vital Moreira sur la proposition de décision du Parlement européen et du Conseil accordant une assistance macrofinancière à l'Ukraine a été reporté à la période de session de mai II."
"They want guaranteed profits, without any risk, and they know that they can count on both European and national authorities to give them what they want.","Ils veulent des profits assurés, sans risque, et savent pouvoir compter, pour leur offrir cela, sur les autorités tant européennes que nationales."
"Mr President, there are quite a lot of people in Europe who think that Europe is pathologically wasteful.","Monsieur le Président, en Europe, de nombreuses personnes estiment qu'il y a gaspillage."
"I think it is a very good decision because it will ensure data security and, of course, an improvement in the quality of the data which the new system will offer, this being the most important aspect of the SIS II system.","Selon moi, c'est une très bonne décision, car cela garantira la sécurité des données et, bien sûr, le système proposera des données de meilleure qualité, ce qui est l'aspect le plus important du système SIS II."
"We cannot predict this, of course.",Nous ne pouvons bien évidemment pas prévoir cette dernière.
"I ask you, moreover, whether the French Government itself has mobilised it.","Je vous pose la question de savoir, d'ailleurs, si le gouvernement français lui-même l'a mobilisé."
"I am pleased the Slovene Presidency has strengthened expectations that, in the future, activities will be more coordinated, there will be more continuity, and the initiatives will be more vigorous, and, as you yourself put it on another occasion earlier this week, that this will coincide with multi-partnerships.","Je suis ravi que, grâce à la présidence slovène, on puisse espérer encore plus que les activités à l'avenir seront plus coordonnées, qu'il y aura davantage de continuité et que les initiatives seront plus vigoureuses et, comme vous l'avez dit vous-même au début de cette semaine, que cela coïncidera avec des multipartenariats."
"Female unemployment is lowest in the states that provide proper care for women during pregnancy, at birth, and whilst they are feeding and later bringing up their children.","Le taux de chômage des femmes est le plus bas dans les États qui fournissent une assistance adéquate pour les femmes durant la grossesse, à la naissance, lorsqu'elles allaitent et, plus tard, lorsqu'elles élèvent leurs enfants."
The euro zone is sinking into stagnation.,L’eurozone s’enfonce dans la stagnation.
"It should be seen as a practical instrument which facilitates the work of all those who deal with investigations in connection with payment card fraud, and one which respects privacy and human rights.","Il doit être considéré comme un instrument pratique qui faciliterait le travail de tous ceux qui s'occupent au sein des É tats membres des enquêtes visant à déterminer les utilisations frauduleuses des cartes de paiement et ce, en respectant la vie privée et les droits de l'homme."
The resulting resolution should not be considered some kind of settling of scores between political parties in one or other Member State but rather should be viewed as an opportunity to promote the values on which our Union is based.,Cette dernière ne devrait pas être perçue comme un règlement de compte entre partis politiques d'un État membre ou d'un autre mais comme une occasion de promouvoir les valeurs sur lesquelles se fonde notre Union.
